Song,Performer,SongID,Peak Position,Weeks on Chart,year
Chitty Chitty Bang Bang,Paul Mauriat,Chitty Chitty Bang BangPaul Mauriat,76,8,69
Aquarius/Let The Sunshine In,The 5th Dimension,Aquarius/Let The Sunshine InThe 5th Dimension,1,17,69
Love Of The Common People,The Winstons,Love Of The Common PeopleThe Winstons,54,6,69
Why Is The Wine Sweeter (On The Other Side),Eddie Floyd,Why Is The Wine Sweeter (On The Other Side)Eddie Floyd,98,2,69
These Eyes,The Guess Who,These EyesThe Guess Who,6,14,69
Mongoose,Elephant's Memory,MongooseElephant's Memory,50,14,70
Can't Help Falling In Love,Andy Williams,Can't Help Falling In LoveAndy Williams,88,3,70
Compared To What,Les McCann & Eddie Harris,Compared To WhatLes McCann & Eddie Harris,85,4,70
You Got To Pay The Price,Gloria Taylor,You Got To Pay The PriceGloria Taylor,49,9,70
Groovy Situation,Gene Chandler,Groovy SituationGene Chandler,12,15,70
Sunday Mornin',Oliver,Sunday Mornin'Oliver,35,9,70
Just Let It Come,Alive 'N Kickin',Just Let It ComeAlive 'N Kickin',69,5,70
Patch Of Blue,Frankie Valli & The 4 Seasons,Patch Of BlueFrankie Valli & The 4 Seasons,94,2,70
Rainbow,The Marmalade,RainbowThe Marmalade,51,8,70
Still Water (Love),Four Tops,Still Water (Love)Four Tops,11,14,70
Ain't It Funky Now (Part 1),James Brown,Ain't It Funky Now (Part 1)James Brown,24,11,70
Follow Me,Mary Travers,Follow MeMary Travers,56,11,71
Ride With Me,Steppenwolf,Ride With MeSteppenwolf,52,8,71
Oye Como Va,Santana,Oye Como VaSantana,13,10,71
Tulsa,Billy Joe Royal,TulsaBilly Joe Royal,86,3,71
Whole Lotta Love,C.C.S.,Whole Lotta LoveC.C.S.,58,4,71
You're The One,The Three Degrees,You're The OneThe Three Degrees,77,6,71
Could I Forget You,Tyrone Davis,Could I Forget YouTyrone Davis,60,7,71
You Are Everything,The Stylistics,You Are EverythingThe Stylistics,9,16,72
Sweet Inspiration/Where You Lead,Barbra Streisand,Sweet Inspiration/Where You LeadBarbra Streisand,37,12,72
"Guns, Guns, Guns",The Guess Who,"Guns, Guns, GunsThe Guess Who",70,6,72
Run To Me,Bee Gees,Run To MeBee Gees,16,12,72
Puppy Love,Donny Osmond,Puppy LoveDonny Osmond,3,12,72
Step Out,The Mamas & The Papas,Step OutThe Mamas & The Papas,81,3,72
Let Us Love,Bill Withers,Let Us LoveBill Withers,47,6,73
Pieces Of April,Three Dog Night,Pieces Of AprilThree Dog Night,19,14,73
Silly Wasn't I,Valerie Simpson,Silly Wasn't IValerie Simpson,63,9,73
Blockbuster,The Sweet,BlockbusterThe Sweet,73,7,73
Rocky Mountain Way,Joe Walsh,Rocky Mountain WayJoe Walsh,23,15,73
Daddy What If,Bobby Bare,Daddy What IfBobby Bare,41,8,74
Blood Is Thicker Than Water,William DeVaughn,Blood Is Thicker Than WaterWilliam DeVaughn,43,9,74
Let This Be A Lesson To You,The Independents,Let This Be A Lesson To YouThe Independents,88,4,74
What Goes Up (Must Come Down),Tyrone Davis,What Goes Up (Must Come Down)Tyrone Davis,89,2,74
Loose Booty,Sly & The Family Stone,Loose BootySly & The Family Stone,84,4,74
Indian Love Call,Ray Stevens,Indian Love CallRay Stevens,68,5,75
Heartbreak Road,Bill Withers,Heartbreak RoadBill Withers,89,4,75
Sweet Sticky Thing,Ohio Players,Sweet Sticky ThingOhio Players,33,8,75
Love Corporation,The Hues Corporation,Love CorporationThe Hues Corporation,62,6,75
Sandy,The Hollies,SandyThe Hollies,85,2,75
It Only Takes A Minute,Tavares,It Only Takes A MinuteTavares,10,18,75
50 Ways To Leave Your Lover,Paul Simon,50 Ways To Leave Your LoverPaul Simon,1,17,76
Kong,Dickie Goodman,KongDickie Goodman,48,6,77
Too Hot To Stop (Pt. 1),The Bar-Kays,Too Hot To Stop (Pt. 1)The Bar-Kays,74,4,77
At Midnight (My Love Will Lift You Up),Rufus Featuring Chaka Khan,At Midnight (My Love Will Lift You Up)Rufus Featuring Chaka Khan,30,12,77
Love In 'C' Minor,The Heart And Soul Orchestra,Love In 'C' MinorThe Heart And Soul Orchestra,46,7,77
(Theme from) Charlie's Angels,Henry Mancini And His Orchestra,(Theme from) Charlie's AngelsHenry Mancini And His Orchestra,45,9,77
Put Your Head On My Shoulder,Leif Garrett,Put Your Head On My ShoulderLeif Garrett,58,7,78
You're The One That I Want,John Travolta & Olivia Newton-John,You're The One That I WantJohn Travolta & Olivia Newton-John,1,24,78
Driftwood,The Moody Blues,DriftwoodThe Moody Blues,59,7,78
I Just Wanna Stop,Gino Vannelli,I Just Wanna StopGino Vannelli,4,21,79
Can't Keep A Good Man Down,Eddie Money,Can't Keep A Good Man DownEddie Money,63,5,79
Honesty,Billy Joel,HonestyBilly Joel,24,11,79
A Little Lovin' (Keeps The Doctor Away),The Raes,A Little Lovin' (Keeps The Doctor Away)The Raes,61,9,79
I'll Come Running,Livingston Taylor,I'll Come RunningLivingston Taylor,82,4,79
Cruisin',Smokey Robinson,Cruisin'Smokey Robinson,4,25,80
Angel Say No,Tommy Tutone,Angel Say NoTommy Tutone,38,8,80
Midnight Rendezvous,The Babys,Midnight RendezvousThe Babys,72,4,80
Don't Ask Me Why,Billy Joel,Don't Ask Me WhyBilly Joel,19,15,80
Love X Love,George Benson,Love X LoveGeorge Benson,61,6,80
The Hardest Part,Blondie,The Hardest PartBlondie,84,3,80
Guitar Man,Elvis Presley,Guitar ManElvis Presley,28,20,81
Being With You,Smokey Robinson,Being With YouSmokey Robinson,2,25,81
Deep Inside My Heart,Randy Meisner,Deep Inside My HeartRandy Meisner,22,16,81
New World Man,Rush,New World ManRush,21,12,82
Stray Cat Strut,Stray Cats,Stray Cat StrutStray Cats,3,19,83
Solsbury Hill,Peter Gabriel,Solsbury HillPeter Gabriel,84,8,83
He's A Pretender,High Inergy,He's A PretenderHigh Inergy,82,5,83
Beast Of Burden,Bette Midler,Beast Of BurdenBette Midler,71,6,84
We're Going All The Way,Jeffrey Osborne,We're Going All The WayJeffrey Osborne,48,12,84
Everybody Wants To Rule The World,Tears For Fears,Everybody Wants To Rule The WorldTears For Fears,1,24,85
There'll Be Sad Songs (To Make You Cry),Billy Ocean,There'll Be Sad Songs (To Make You Cry)Billy Ocean,1,21,86
Friends And Lovers,Carl Anderson & Gloria Loring,Friends And LoversCarl Anderson & Gloria Loring,2,21,86
No One In The World,Anita Baker,No One In The WorldAnita Baker,44,17,87
